"title";"author";"abstract";"year";"keywords"
"1";"Smoothness as a quality of care: An STS approach to transnational healthcare mediation.";"Sarah Savina Anna Hartmann";"Medical travel and transnational healthcare involve various difficulties such as the distance and disconnect between patients and healthcare providers, language barriers or logistical challenges of moving ill bodies across space. Medical travel facilitation steps in with some sort of brokerage service that contributes to overcoming or managing these difficulties and, as this paper suggests, acts to create a quality of 'smoothness'. By unpacking three salient facilitation practices, namely connecting, communicating, and coordinating, this paper conceptualises the empirically derived category of 'smoothness'. This as a disposition, outcome, and spatio-temporal manoeuvre of medical travel facilitation. Based on the way in which such practices of mediation act to create smoothness, namely in an attentive, persistent, and collective tinkering manner, this paper suggests that some practices of medical travel facilitation are productively thought not just about setting up the possibility of care transnationally, but that they are key forms of care in itself. Based on these findings, smoothness is considered to be a central but also contested quality of medical travel facilitation and brokerage in a broader sense, but as proposed here, also for care. This conclusion potentially has implications not just for the study of transnational healthcare and mediation activities, but also that of care and transnational mobilities more generally.";2024;"medical, travel, facilitation, smoothness, care"
"2";"Tree water uptake patterns across the globe.";"Christoph Bachofen and Shersingh Joseph Tumber-D{'a";"Plant water uptake from the soil is a crucial element of the global hydrological cycle and essential for vegetation drought resilience. Yet, knowledge of how the distribution of water uptake depth (WUD) varies across species, climates, and seasons is scarce relative to our knowledge of aboveground plant functions. With a global literature review, we found that average WUD varied more among biomes than plant functional types (i.e. deciduous/evergreen broadleaves and conifers), illustrating the importance of the hydroclimate, especially precipitation seasonality, on WUD. By combining records of rooting depth with WUD, we observed a consistently deeper maximum rooting depth than WUD with the largest differences in arid regions---indicating that deep taproots act as lifelines while not contributing to the majority of water uptake. The most ubiquitous observation across the literature was that woody plants switch water sources to soil layers with the highest water availability within short timescales. Hence, seasonal shifts to deep soil layers occur across the globe when shallow soils are drying out, allowing continued transpiration and hydraulic safety. While there are still significant gaps in our understanding of WUD, the consistency across global ecosystems allows integration of existing knowledge into the next generation of vegetation process models.";2024;"water, uptake, depth, species, climate"
"3";"EGU General Assembly 2024";"Monika Feldmann and Louis Poulain-Auzeau and Milton Gomez and Tom Beucler and Olivia Romppainen-Martius";"The recently released suite of AI-based medium-range forecast models can produce multi-day forecasts within seconds, with a skill on par with the IFS model of ECMWF. Traditional model evaluation predominantly targets global scores on single levels. Specific prediction tasks, such as severe convective environments, require much more precision on a local scale and with the correct vertical gradients in between levels. With a focus on the North American and European convective season of 2020, we assess the performance of Panguweather, Graphcast and Fourcastnet for convective available potential energy (CAPE) and storm relative helicity (SRH) at lead times of up to 7 days. Looking at the example of a US tornado outbreak on April 12 and 13, 2020, all models predict elevated CAPE and SRH values multiple days in advance. The spatial structures in the AI-models are smoothed in comparison to IFS and the reanalysis ERA5. The models show differing biases in the prediction of CAPE values, with Graphcast capturing the value distribution the most accurately and Fourcastnet showing a consistent underestimation. By advancing the assessment of large AI-models towards process-based evaluations we lay the foundation for hazard-driven applications of AI-weather-forecasts.";2024;"ai, forecast, evaluation, convective, performance"
"4";"Striving for just sustainabilities in urban foodscape planning: the case of Almere city in the Netherlands";"Samuel Agyekum and Harrison Esam Awuh";"As cities increasingly adopt diverse ethnic, social, and cultural characteristics, there is an emerging logic for planning and policy to reflect this hyper-diversity (inclusion) while resolving the looming sustainability-related challenges. However, what is not adequately addressed in the current literature on urban planning ? which could also solidify the justification for more citizen inclusion ? is what happens when citizens are involved in planning from the perspective of sustainability. In response, this paper asks a key question: ?What are the implications, in the case of urban foodscape, when citizens are involved in planning from the perspective of sustainability?? This question is investigated in this paper in the domain of urban foodscapes and through qualitative interviews, with the support of maps, in the Dutch city of Almere. A novel theoretical combination of just sustainabilities and social licence to operate (SLO) was utilised to frame citizen inclusion in foodscape planning. The findings showed that based on everyday practical experiences of food access in the city, citizens were more concerned about social interaction, the representation of food from cultural origins, and local food production. This theoretical combination, as a way of deepening inclusion, would help avoid the tendency of urban planning being used as an instrument for glossing over social injustice under the guise of citizen participation. This paper, therefore, argues that SLO can be a key pathway for actualising just sustainabilities in both urban planning research and policy.";2024;"cities, diversity, planning, sustainability, citizen"
"5";"Antimony release and volatilization from organic-rich and iron-rich submerged soils.";"Jaime Nicole Caplette and S C Wilson and Adrien Mestrot";"Antimony (Sb) is an poorly understood, increasingly common pollutant, especially in soils susceptible to waterlogging. We investigated the impact of waterlogging on Sb release, methylation, and volatilization from an organic-rich wetland soil and an iron (Fe)-rich floodplain soil in a 27-day microcosm experiment. The release of Sb into the porewaters of the organic-rich soil was environmentally relevant and immediate with waterlogging (3.2 to 3.5 mg L-1), and likely associated with a complex interplay of sulfide precipitation, sorption with organic matter and manganese (Mn) (oxyhydr)oxides in the soil. The release of Sb from the Fe-rich soil was likely associated with Fe-(oxyhydr)oxide reduction and immobilized due to co-precipitation with Fe-sulfides or as Sb-sulfides. Volatile Sb was produced from the soils after waterlogging. The organic-rich soil produced more volatile Sb (409 to 835 ng kgsoil-1), but the Fe-rich soil volatilized Sb more efficiently. The negligible association of Sb volatilization with soil parameters indicates a more complex underlying, potentially microbial, mechanism and that antimony volatilization could be ubiquitous and not dependent on specific soil properties. Future works should investigate the microbial and physiochemical drivers of Sb volatilization in soils as it may be an environmentally relevant part of the biogeochemical cycle.";2024;"antimony, waterlogging, release, volatilization, soil"
"6";"A novel, continuous high-resolution palaeoecological record from central Italy suggests comparable land-use dynamics in Southern and Central Europe during the Neolithic";"Giorgia Zoe Beffa and Erika Gobet and Luc H{\"a";"";2024;"spectrum,plant,reflection,mechanisms,photosynthesis"
"7";"Anthropogenic Eutrophication Drives Major Food Web Changes in Mwanza Gulf, Lake Victoria";"Leighton Rebecca King and Giulia Luise Wienhues and Pavani Misra and Wojciech Tylmann and Andra Lami and Stefano M. Bernasconi and Madalina Jaggi and Colin Courtney-Mustaphi and Moritz Muschick and Dora Nare Ngoepe and Salome Mwaiko and Mary A. Kishe and Andrew Cohen and Oliver Heiri and Ole Seehausen and Hendrik Vogel and Martin Grosjean and Blake Matthews";"";2024;"adhesion, nanocomposite, adhesive, preparation, characterization"
"8";"Rethinking Media Studies: Media, Meditation and Communication";"Susan Thieme and Eda Elif Tibet";"This chapter explores the importance of interdisciplinary collaboration in sustainability studies. The authors argue that forming alliances and coalitions is crucial for addressing sustainability complexities. They share their experiences in driving co-creative media initiatives through unconventional partnerships and creating innovative educational tools and media promoting transformative narratives on sustainability. The authors also highlight the value of integrating transdisciplinarity into teaching practices and examine universities' role in addressing societal issues and catalyzing regenerative practices. The chapter emphasizes justice as an integral aspect of sustainability, raising questions about knowledge accessibility and transparent procedures in knowledge production. It explores the concept of \"commoning\" and its relevance to social and political transformation. The authors discuss the necessity of forming unorthodox coalitions and how these alliances foster transformation and emancipation through knowledge sharing and co-creation. The chapter concludes by presenting three collaborative efforts at the mLAB that contribute to transformative learning and education in sustainability research: teaching transdisciplinarity, organizing a science film festival, and conducting applied research on the commons?";2024;"interdisciplinary, collaboration, sustainability, transformative, education"
"9";"How social innovations emerge in a rigid regulatory context : The case of Demand Responsive Transport in Switzerland";"Sebastian Imhof and Heike Mayer";"Demand responsive transport (DRT) solutions may improve rural transport systems. These solutions often emerge as social innovations in rural areas. In Switzerland, their planning process is embedded in a rigid regulatory framework of the public transport system. The objective of this paper is to understand in which way the regulatory framework of the public transport system influences planning processes of a DRT solution in a rural setting. The methodological approach of social innovation biographies helps to examine the necessary planning steps to start mybuxi, a DRT in two Swiss rural municipalities. Our findings show that regulatory constraints dominate the final planning stage of the social innovation. Protections of current public transport regulations hinder federal offices from subsidizing the DRT, having direct implications on the financial sustainability of the system. The findings of this paper help actors to better address regulatory questions in the early stage of the respective innovation process.";2024;"transport, rural, innovation, regulation, planning"
"10";"Commoning the compact city: The role of old and new commons in urban development";"Berit Jessica Verheij and Jean-David Gerber and St{'e";"Although densification is generally seen to contribute to more sustainable urban development, it is often linked to market-oriented and for-profit development, contributing to the enclosure of urban space. We analyse how densification can take a different path through processes of commoning. We particularly aim to understand how commoning initiatives can contribute to new institutional arrangements that counteract enclosure and commodification in densification. We furthermore aim to contribute to conceptual clarity in the debate on urban commons by emphasizing the different roles of so-called ?old? and ?new? commons in urban development. Our analytical framework builds on a new institutionalist approach which stresses the analysis of localized and temporary institutional arrangements negotiated among actors in a given situation. We rely on a detailed case-study of a densification project in the city of Bern (Switzerland), where publicly-owned land was redeveloped into cooperative housing and urban green space. Our findings show how densification leads to a transition phase in which institutional arrangements defining land uses and allocating access and use rights are renegotiated. These are crucial moments where processes of commoning can shape the outcome of densification, although not independently from the supportive action of the public actor. We underline the potential of new commons, even when typically transitional, unstable, and temporary. Contrary to old commons, their potential lies not so much in the ability for long-lasting resource management, but rather in the capacity to change the conditions of governance during the transition between land uses, advancing more socially-sustainable outcomes in a key moment of the urban redevelopment process.";2024;"sustainable, commoning, institutional, urban, densification"
